index,Open,High,Low,Close,Volume,SMA_20,EMA_20,RSI_14,MACD,ATR_14,signal,pos,ret,equity
247.0,47.1,47.35,46.1,46.1,10288171.0,47.27999999999998,47.37578306779038,32.999843324757215,-0.6750237158840591,0.6080102819851254,0,0.0,0.0,1.0
248.0,46.1,46.25,45.7,45.8,7585046.0,47.152499999999975,47.22570848990558,31.009123193461225,-0.7185300439914926,0.603866690414759,0,0.0,-0.006507592190889477,1.0
249.0,45.15,45.8,45.0,45.3,9440035.0,47.01749999999997,47.04230768134314,27.979606400693026,-0.7843138618079522,0.6178762125279904,0,0.0,-0.01091703056768556,1.0
250.0,46.0,46.1,45.6,45.95,8418859.0,46.91499999999998,46.93827837835808,36.64507924232695,-0.7750639884526649,0.6308850544902771,0,0.0,0.014348785871964864,1.0
251.0,46.3,46.3,45.7,45.7,5656716.0,46.824999999999974,46.82034710422874,34.90550855790331,-0.7789273185765566,0.6286789791695426,0,0.0,-0.005440696409140355,1.0
252.0,46.4,47.25,46.25,47.05,15095094.0,46.814999999999976,46.84221880858791,48.9879418926178,-0.6653851718807218,0.694487623514575,1,0.0,0.029540481400437413,1.0
253.0,46.8,46.9,46.5,46.9,7525738.0,46.78249999999998,46.84772177919859,47.75180815246274,-0.5808107245050067,0.6841670789778195,1,1.0,-0.0031880977683315104,0.9968119022316685
254.0,46.6,46.65,45.7,45.95,19802685.0,46.67749999999998,46.76222446689396,40.74021631468246,-0.5837132432333831,0.7210122876222606,0,1.0,-0.02025586353944553,0.9766206163655687
255.0,45.6,45.75,44.85,45.0,25130823.0,46.55499999999998,46.59439356528501,35.17761559199098,-0.655118769379726,0.7480828385063848,0,0.0,-0.020674646354733484,0.9766206163655687
256.0,44.9,44.9,44.45,44.6,22352249.0,46.39749999999998,46.40445132097215,33.12667325249091,-0.7355063608689818,0.7339340643273571,0,0.0,-0.008888888888888835,0.9766206163655687
257.0,44.5,44.5,43.9,44.0,28370433.0,46.24499999999998,46.17545595707004,30.275315731238116,-0.837969501085702,0.7315102025896889,0,0.0,-0.013452914798206317,0.9766206163655687
258.0,43.75,44.25,43.75,44.05,19498052.0,46.08249999999998,45.973031580206225,30.809784059404226,-0.9047087761718942,0.7149737595475683,0,0.0,0.001136363636363491,0.9766206163655687
259.0,44.15,44.2,43.8,44.15,12024604.0,45.937499999999986,45.79940952494849,31.93356866579175,-0.938710102508125,0.6924756338655994,0,0.0,0.002270147559591429,0.9766206163655687
260.0,44.2,44.5,44.15,44.3,14109340.0,45.78749999999998,45.656608617810534,33.67377058773976,-0.9426859553070699,0.6680130885894853,0,0.0,0.003397508493771184,0.9766206163655687
261.0,44.2,44.5,44.1,44.25,11741284.0,45.64749999999999,45.522645892304766,33.36753600825443,-0.9390466837927747,0.6488692965473791,0,0.0,-0.0011286681715575453,0.9766206163655687
262.0,44.1,44.35,44.05,44.3,4626207.0,45.51999999999998,45.40620342637098,34.013785740771205,-0.921505411993337,0.6239500610797094,0,0.0,0.001129943502824693,0.9766206163655687
263.0,44.15,44.3,44.05,44.05,12450772.0,45.39749999999998,45.27704119528803,32.325616410868186,-0.9172037840935658,0.5972393424311587,0,0.0,-0.0056433408577878375,0.9766206163655687
264.0,44.1,44.25,43.8,44.0,24142971.0,45.27249999999998,45.155418224308214,31.983712096760065,-0.9073697020171849,0.586722246543219,0,0.0,-0.0011350737797956034,0.9766206163655687
265.0,44.4,44.6,44.25,44.6,24768704.0,45.15499999999998,45.10252125056457,40.162635683585926,-0.8414612935297967,0.5876706575044178,0,0.0,0.013636363636363669,0.9766206163655687
266.0,44.6,44.85,44.5,44.75,18505378.0,45.03999999999998,45.06894779812985,42.03911141387975,-0.7682685370963114,0.5706941819683881,0,0.0,0.0033632286995515237,0.9766206163655687
267.0,44.8,44.8,44.4,44.55,16925025.0,44.96249999999998,45.019524198307955,40.22769194259269,-0.718123003855311,0.5585017403992174,0,0.0,-0.004469273743016866,0.9766206163655687
268.0,44.9,44.95,44.15,44.15,21390098.0,44.87999999999998,44.93671236989768,36.81134571664763,-0.7025602868846619,0.5757516160849878,0,0.0,-0.008978675645342271,0.9766206163655687
269.0,44.45,44.45,44.05,44.3,25126462.0,44.82999999999998,44.87607309657409,38.90664790969519,-0.6703950780115306,0.5631979292217748,0,0.0,0.003397508493771184,0.9766206163655687
270.0,44.5,44.65,44.3,44.6,15704325.0,44.762499999999974,44.84978042070989,42.97910283721242,-0.6136229619085256,0.5479695057059338,0,0.0,0.006772009029345494,0.9766206163655687
271.0,44.6,44.95,44.5,44.5,16986578.0,44.70249999999997,44.8164679996899,41.97468773472269,-0.5701277374755875,0.5409716838697959,0,0.0,-0.0022421524663677195,0.9766206163655687
272.0,44.6,44.65,44.4,44.4,13225633.0,44.56999999999998,44.77680438067181,40.944222832881685,-0.5375303082192886,0.5201879921648105,0,0.0,-0.0022471910112359383,0.9766206163655687
273.0,44.65,44.8,44.55,44.75,7731430.0,44.46249999999998,44.77425158251259,45.94602061378643,-0.47794508235501354,0.5116031355816096,1,0.0,0.007882882882882969,0.9766206163655687
274.0,44.9,44.9,44.8,44.85,9207319.0,44.40749999999998,44.781465717511395,47.31890871854344,-0.4178376252550322,0.48577434018292315,1,1.0,0.0022346368715084886,0.9788030088043745
275.0,44.95,45.1,44.85,45.05,15421958.0,44.409999999999975,44.807040411081736,50.05132056844137,-0.3500287899173813,0.46893331588414294,1,1.0,0.004459308807134743,0.9831677936819859
276.0,45.1,45.15,44.9,45.1,13360367.0,44.434999999999974,44.83494132431205,50.73920816392672,-0.28892467345720263,0.45329522189241844,1,1.0,0.0011098779134295356,0.9842589899013888
277.0,45.05,45.1,44.9,45.0,10806020.0,44.48499999999997,44.85066119818709,49.27751261589737,-0.24573569704586617,0.43520270604296013,1,1.0,-0.0022172949002217113,0.9820765974625831
278.0,45.05,45.3,45.05,45.3,14894971.0,44.54749999999997,44.89345536978832,53.59639064373643,-0.1851661491789116,0.42554536989703423,1,1.0,0.006666666666666599,0.9886237747790003
279.0,45.35,45.65,45.3,45.45,24213809.0,44.612499999999976,44.94645962028467,55.63065818826589,-0.1236354076970656,0.4201492720472462,1,1.0,0.0033112582781458233,0.991897363437209
280.0,45.45,45.6,45.2,45.5,19417477.0,44.67249999999998,44.99917775168613,56.31807711382256,-0.07003000730306042,0.4187100383295857,1,1.0,0.0011001100110010764,0.9929885596566119
281.0,45.05,45.3,44.5,45.15,20563565.0,44.71749999999998,45.01354177533507,50.428340201745,-0.055153639389772025,0.4602307498774724,1,1.0,-0.007692307692307776,0.9853501861207917
282.0,45.0,45.25,45.0,45.1,9538559.0,44.75749999999998,45.021775891969824,49.629835357003444,-0.046858437869218506,0.4452142677433672,1,1.0,-0.001107419712070845,0.9842589899013889
283.0,45.1,45.25,45.1,45.15,7938718.0,44.812499999999986,45.033987711782224,50.47437019970804,-0.03583674507825663,0.42412753433312655,1,1.0,0.0011086474501107446,0.9853501861207917
284.0,45.1,45.15,45.0,45.1,9525330.0,44.867499999999986,45.040274596374395,49.57915387019505,-0.03078172371692034,0.40454699616647455,1,1.0,-0.001107419712070845,0.9842589899013889
285.0,45.0,45.0,44.6,44.7,12276033.0,44.87249999999999,45.00786749195779,43.007483275196975,-0.058379279929930306,0.4113650678688692,0,1.0,-0.008869179600886845,0.9755294201461661
286.0,44.6,44.7,44.45,44.5,10222448.0,44.859999999999985,44.95949915939038,40.14241571447348,-0.09529042192097137,0.3998389915925214,0,0.0,-0.004474272930648837,0.9755294201461661
287.0,45.0,45.3,44.95,45.0,20445353.0,44.882499999999986,44.963356382305584,49.24552701918182,-0.08323743719120813,0.42842192076448393,1,0.0,0.011235955056179803,0.9755294201461661
288.0,45.05,45.4,45.0,45.25,11344654.0,44.937499999999986,44.99065577446696,53.08716988241907,-0.05290262081101105,0.4263917835670207,1,1.0,0.005555555555555536,0.9809490280358669
289.0,45.25,45.55,45.05,45.25,14324148.0,44.98499999999999,45.01535522451773,53.08716988241906,-0.028533147911304013,0.43164951331223345,1,1.0,0.0,0.9809490280358669
290.0,45.2,45.35,45.15,45.25,17464590.0,45.01749999999999,45.03770234599223,53.08716988241906,-0.009115091959550625,0.41510311950421697,1,1.0,0.0,0.9809490280358669
291.0,45.5,46.0,45.4,46.0,12578913.0,45.09249999999999,45.12934974161202,63.452360683600105,0.06603142016172825,0.4390243252539157,1,1.0,0.016574585635359185,0.9972078517049697
292.0,46.15,47.0,46.1,46.95,22820201.0,45.21999999999999,45.30274500431563,71.91651680122077,0.19993787358824733,0.47909401630720744,1,1.0,0.020652173913043637,1.0178023616858334
