index,Open,High,Low,Close,Volume,SMA_20,EMA_20,RSI_14,MACD,ATR_14,signal,pos,ret,equity
247.0,108.0,108.5,107.0,107.0,10664118.0,107.375,107.5198418230293,48.62637981945137,0.27944256707822035,1.7201476765529138,0,0.0,0.0,1.0
248.0,107.5,107.5,107.0,107.0,5508818.0,107.4,107.47033307797889,48.62637981945137,0.20068472581085928,1.6329942710848486,0,0.0,0.0,1.0
249.0,107.0,107.5,106.5,107.5,5947097.0,107.45,107.47315849912376,50.29377891803208,0.17657889888273814,1.587780394578788,1,0.0,0.004672897196261738,1.0
250.0,108.0,108.0,107.5,108.0,5665348.0,107.5,107.52333388015958,51.972483235831604,0.19556631198597074,1.5100817949660175,1,1.0,0.0046511627906977715,1.0046511627906978
251.0,108.0,108.0,107.0,107.0,7607006.0,107.5,107.47349255823963,48.448313607480195,0.12844173465106223,1.4736473810398734,0,1.0,-0.0092592592592593,0.9953488372093023
252.0,107.5,107.5,107.0,107.5,8300702.0,107.5,107.47601707650252,50.26427445886617,0.11427357024734874,1.404101139537025,0,0.0,0.004672897196261738,0.9953488372093023
253.0,106.5,107.0,106.5,107.0,6220751.0,107.475,107.43068211683561,48.42715562389983,0.061984853745897794,1.3752367724272376,0,0.0,-0.0046511627906976605,0.9953488372093023
254.0,107.0,107.0,106.5,107.0,6847797.0,107.45,107.38966477237508,48.42715562389983,0.020311530518313248,1.3127198601110064,0,0.0,0.0,0.9953488372093023
255.0,107.0,107.0,106.0,106.5,6641129.0,107.4,107.30493479405365,46.45787964703435,-0.052456019366772466,1.2903827272459345,0,0.0,-0.004672897196261627,0.9953488372093023
256.0,106.5,107.0,106.5,107.0,5968885.0,107.375,107.27589338509615,48.70426154719847,-0.06898380324405196,1.2339268181569392,0,0.0,0.0046948356807512415,0.9953488372093023
257.0,106.5,107.0,106.5,107.0,5727210.0,107.4,107.24961782461081,48.704261547198456,-0.0811467814585285,1.181503474002872,0,0.0,0.0,0.9953488372093023
258.0,106.5,107.0,106.5,107.0,4311517.0,107.375,107.2258446984574,48.70426154719845,-0.0897514306982572,1.1328246544312384,0,0.0,0.0,0.9953488372093023
259.0,107.0,107.0,106.5,107.0,6127169.0,107.35,107.20433567955669,48.70426154719845,-0.09547015667584446,1.0876228934004357,0,0.0,0.0,0.9953488372093023
260.0,107.0,107.0,106.0,106.5,7168975.0,107.3,107.13725609102748,46.10259217919177,-0.138748700884193,1.0813641153004045,0,0.0,-0.004672897196261627,0.9953488372093023
261.0,106.5,107.5,106.5,107.5,10011495.0,107.275,107.17180312997725,51.663836745589705,-0.09130313066698648,1.075552392778947,1,0.0,0.009389671361502261,0.9953488372093023
262.0,107.0,108.0,106.5,107.0,5558447.0,107.275,107.15544092712227,48.94450172765985,-0.09297622373708236,1.1058700790090221,0,1.0,-0.0046511627906976605,0.9907193077339103
263.0,107.0,107.5,106.5,107.0,7790106.0,107.3,107.1406370293011,48.94450172765983,-0.09322749353572135,1.0983079305083776,0,0.0,0.0,0.9907193077339103
264.0,107.0,107.0,106.5,107.0,7838333.0,107.35,107.12724302651053,48.94450172765984,-0.09236193575932816,1.0555716497577792,0,0.0,0.0,0.9907193077339103
265.0,106.5,107.0,106.5,106.5,7458995.0,107.35,107.06750559541429,45.925365356528154,-0.13051727441589378,1.0158879604893662,0,0.0,-0.004672897196261627,0.9907193077339103
266.0,107.0,107.0,106.5,107.0,7233532.0,107.05,107.06107649108912,49.29377412014445,-0.11903764203097467,0.9790388204544115,0,0.0,0.0046948356807512415,0.9907193077339103
267.0,107.0,107.0,106.5,107.0,9310055.0,107.05,107.05525968241398,49.29377412014445,-0.10868707372904396,0.9448217618505249,0,0.0,0.0,0.9907193077339103
268.0,107.5,108.0,106.5,106.5,15270358.0,107.025,107.00237780789836,45.97254306716641,-0.1392250948744902,0.9844773502897731,0,0.0,-0.004672897196261627,0.9907193077339103
269.0,107.0,107.5,106.5,107.0,12912519.0,107.0,107.00215135000327,49.62752310139964,-0.12167824426337859,0.9855861109833608,0,0.0,0.0046948356807512415,0.9907193077339103
270.0,107.0,107.0,106.0,106.0,11838394.0,106.9,106.90670836428868,43.31600848578339,-0.1863161448471118,0.9866156744845493,0,0.0,-0.009345794392523366,0.9907193077339103
271.0,106.5,107.0,106.0,106.0,7964309.0,106.85,106.82035518673737,43.316008485783385,-0.23483511373923704,0.987571697735653,0,0.0,0.0,0.9907193077339103
272.0,106.5,107.0,106.0,106.5,8260742.0,106.8,106.78984516895287,47.209223697484035,-0.23028632738703436,0.9884594336116778,0,0.0,0.004716981132075526,0.9907193077339103
273.0,106.5,107.0,106.0,106.5,8435027.0,106.775,106.76224086714782,47.209223697484035,-0.22409811782463862,0.9892837597822722,0,0.0,0.0,0.9907193077339103
274.0,106.5,107.0,106.0,106.0,5957214.0,106.725,106.68964649884803,43.726180229013465,-0.25658202067091906,0.9900492055121098,0,0.0,-0.0046948356807511304,0.9907193077339103
275.0,106.0,106.5,106.0,106.5,9254102.0,106.725,106.67158492752917,47.86826424892848,-0.23922232038613345,0.9550456908326733,0,0.0,0.004716981132075526,0.9907193077339103
276.0,106.0,106.5,106.0,106.5,7410452.0,106.7,106.65524350585973,47.86826424892848,-0.2228952353153062,0.922542427201768,0,0.0,0.0,0.9907193077339103
277.0,106.5,107.0,106.0,107.0,7165562.0,106.7,106.68807745768261,51.96849301588836,-0.16767720301976397,0.9280751109730704,1,0.0,0.0046948356807512415,0.9907193077339103
278.0,107.0,107.0,106.5,107.0,7456253.0,106.7,106.71778436647475,51.96849301588837,-0.1225043605885503,0.8974983173321368,1,1.0,0.0,0.9907193077339103
279.0,107.0,107.0,106.5,106.5,9632887.0,106.675,106.69704299823906,47.62434801422538,-0.12560251126964772,0.8691055803798413,0,1.0,-0.004672897196261627,0.9860897782585182
280.0,106.5,107.5,106.5,107.0,8008331.0,106.7,106.72589604602581,51.94991492148573,-0.08671242976599558,0.8784551817812812,1,0.0,0.0046948356807512415,0.9860897782585182
281.0,106.5,107.5,106.5,107.0,9591844.0,106.675,106.75200118449955,51.94991492148573,-0.0552548168526954,0.8871369545111898,1,1.0,0.0,0.9860897782585182
282.0,107.0,107.5,106.5,107.0,7242651.0,106.675,106.77562011930911,51.94991492148573,-0.029978854406635946,0.8951986006175333,1,1.0,0.0,0.9860897782585182
283.0,107.0,107.5,107.0,107.5,6699834.0,106.7,106.84460867937491,56.4428214370343,0.030051929326390336,0.8669701291448524,1,1.0,0.004672897196261738,0.9906976744186048
284.0,107.0,107.5,107.0,107.0,5129977.0,106.7,106.85940785276777,51.279148682594965,0.036856082629185494,0.8407579770630773,1,1.0,-0.0046511627906976605,0.9860897782585183
285.0,107.0,107.5,107.0,107.5,6251360.0,106.75,106.92041662869465,55.648738372509484,0.0816529995173596,0.8164181215585717,1,1.0,0.004672897196261738,0.9906976744186049
